CÓD;NOME FANTASIA;LATITUDE;LONGITUDE;TEMPO MÉDIO DE VISITA;FREQUÊNCIA;SEG (Dias do Vendedor);TER (Dias do Vendedor);QUA (Dias do Vendedor);QUI (Dias do Vendedor);SEX (Dias do Vendedor);SAB (Dias do Vendedor)
9342;LAG - MONDUBIM;-3.8165367;-38.557137;01:13:25;1;;;;;;
10948;COMETA (MONDUBIM - 39);-3.81050075;-38.57394099;01:54:11;3;;;;;;
8971161;SUPER DO POVO - PREF JOSE WALTER;-3.8314092000000244;-38.560540300000014;01:13:28;2;;;;;;
1034;COMETA (JOSE WALTER I - 05);-3.83055313;-38.56049735;03:15:05;2;;;;;;
1011;COMETA (MARACANAU - 09);-3.8819005;-38.62523;02:09:08;3;;;;;;
9635;MATEUS - MARACANAU;-3.87830719;-38.59641157;03:32:05;6;;;;;;
8900003;FRANGOLANDIA - VARJOTA;-3.7321668;-38.4886676;01:55:27;3;;;;;;
4009;PAO DE ACUCAR - CENTER UM (1209);-3.7373679;-38.4974441;00:53:24;1;;;;;;
4394;SUPER LAGOA - SANTOS DUMONT;-3.7394701;-38.4895647;00:53:45;1;;;;;;
4029;COMETA (TIBURCIO CAVALCANTE - 27);-3.7411822;-38.5041525;01:34:00;3;;;;;;
8900010;FRANGOLANDIA - ALDEOTA;-3.7358277;-38.5013099;01:11:24;2;;;;;;
9340;COMETA (BENI CARVALHO - 30);-3.745611;-38.495747;01:06:57;3;;;;;;
179;SUPER LAGOA - CIDADE 2000;-3.7510005;-38.471921;00:46:36;1;;;;;;
972;CENTERBOX - CONCEITO;-3.7424091;-38.4867581;00:41:26;3;;;;;;
8900006;FRANGOLANDIA - COCO;-3.7495167;-38.490536;01:02:41;2;;;;;;
4271;PAO DE ACUCAR - COCO (1253);-3.7430401;-38.4859163;00:57:14;1;;;;;;
5047;PINHEIRO - ANTONIO SALES;-3.7478342;-38.495109;00:42:41;1;;;;;;
4141;PAO DE ACUCAR - NAUTICO (1004);-3.7274751;-38.4937798;01:08:04;1;;;;;;
1058;COMETA (VIRGILIO TAVORA - 11);-3.7344387;-38.4922603;01:36:30;3;;;;;;
3815;PAO DE ACUCAR - MUCURIPE (1257);-3.7277865;-38.4862037;01:04:41;1;;;;;;
1004;COMETA (WALDIR DIOGO - 18);-3.8009513;-38.586656;03:03:41;3;;;;;;
172;CENTERBOX - PRQ SAO JOSE;-3.8003218;-38.5880765;00:55:39;2;;;;;;
2351;COMETA (OSORIO DE PAIVA - 15);-3.8109052;-38.6092229;01:22:46;2;;;;;;
337;COMETA (SIQUEIRA - 23);-3.789045;-38.5864455;03:25:45;3;;;;;;
8900002;FRANGOLANDIA - MARACANAU;-3.8802888;-38.6246732;00:57:57;2;;;;;;
8975472;PINHEIRO - MARANGUAPE;-3.894516;-38.682205;00:26:14;1;;;;;;
10758;MATEUS - MARANGUAPE;-3.89666198;-38.67373332;02:35:06;6;;;;;;
196;CENTERBOX - JOSE BASTOS;-3.7548351;-38.5561623;00:59:49;2;;;;;;
10946;COMETA (CENTRO - 25);-3.7216531;-38.540229;01:30:16;2;;;;;;
228;SUPER LAGOA - CENTRO;-3.7316219;-38.5268458;01:27:33;1;;;;;;
967;COMETA (J DA PENHA - 13);-3.7374817;-385204755;02:02:15;2;;;;;;
9622;COMETA (JOAO PESSOA - 40);-3.7570117;-38.5530651;01:59:53;3;;;;;;
9339;COMETA (JACARECANGA - 35);-3.72013;-38.54911;02:58:08;3;;;;;;
182;CENTERBOX - PARQUELANDIA;-3.7429477;-38.5599157;01:05:29;2;;;;;;
4803;COMETA (JOVITA FEITOSA - 28);-3.7403104;-38.5603054;02:04:14;3;;;;;;
9631;COMETA (PRESIDENTE KENNEDY - 33);-3.7302312;-38.568373;01:52:12;3;;;;;;
902;SUPER LAGOA - RODOLFO TEOFILO;-3.7468473;-38.5559982;00:39:22;1;;;;;;
203;SUPER LAGOA - NORTH SHOPPING;-3.7345867;-38.56610903;01:16:14;1;;;;;;
4221;PAO DE ACUCAR - BEZERRA DE MENEZES (2375);-3.7335995;-38.5586262;00:33:16;1;;;;;;
9487;MEGA - MESSEJANA;-3.8139469;-38.4994049;01:41:51;2;;;;;;
557;SUPER LAGOA - CAMBEBA;-3.8031077;-38.4883564;00:53:11;1;;;;;;
8971165;SUPER DO POVO - CAMBEBA;-3.8101342;-38.4938184;01:01:57;2;;;;;;
8975473;PINHEIRO - CAMBEBA;-3.811962;-38.496844;00:40:23;1;;;;;;
11879;COMETA (PATIO OLIVEIRA PAIVA - 45);-3.79612714;-38.49383649;01:05:43;2;;;;;;
1482;COMETA (JOSE LEON - 20);-3.7882169;-38.50204381;01:28:35;2;;;;;;
1025;COMETA (JULIO LIMA - 10);-3.7960364;-38.4990562;02:01:32;4;;;;;;
12427;MATEUS - MESSEJANA;-3.83370328;-38.50481815;02:39:04;6;;;;;;
4284;PAO DE ACUCAR - LUCIANO CAVALCANTE (2374);-3.772043;-38.4828363;00:51:27;1;;;;;;
1049;COMETA (OLIVEIRA PAIVA - 03);-3.7955137;-38.4901664;01:30:50;2;;;;;;
8971163;SUPER DO POVO - PASSARE;-3.7930876;-38.5335303;01:38:30;2;;;;;;
3486;CENTERBOX - MESSEJANA - LJ 02;-3.830081;-38.509759;01:19:51;2;;;;;;
3533;PAO DE ACUCAR - IGUATEMI (1339);-3.75451369;-38.48921518;01:07:54;1;;;;;;
11851;CENTERBOX - CURIO;-3.8268863;-38.46624181;01:55:36;2;;;;;;
954;COMETA (JOAQUIM FELICIO - 17);-3.8301305;-38.4875383;01:30:49;4;;;;;;
1006;COMETA (FREI CIRILO - 16);-3.8194034;-38.4963739;01:40:14;3;;;;;;
8900015;FRANGOLANDIA - MESSEJANA;-3.8322624;-38.4923427;01:26:17;2;;;;;;
276;PINHEIRO - MESSEJANA;-3.821324;-38.4962057;01:47:10;1;;;;;;
212;CENTERBOX - MESSEJANA - LJ 01;-3.8185168;-38.4971878;01:07:40;2;;;;;;
8971164;SUPER DO POVO - PARQUE DOIS IRMAOS;-3.8211125;-38.5562854;01:47:22;3;;;;;;
10977;CENTERBOX - PRQ DEL SOL;-3.80290818;-38.49478307;01:15:05;2;;;;;;
8900019;FRANGOLANDIA - MOLINA CENTER;-3.7929617;-38.4806392;01:11:28;2;;;;;;
9346;COMETA (ED BR SOARES - 34);-3.7888981;-38.4759777;02:03:55;2;;;;;;
8971167;SUPER DO POVO - GUARARAPES;-3.761929;-38.4906592;01:02:15;2;;;;;;
233;SUPER LAGOA - LUCIANO CAVALCANTE;-3.768427;-38.4936217;00:34:48;1;;;;;;
8900012;FRANGOLANDIA - GUARARAPES;-3.7703181;-38.4872714;01:14:26;2;;;;;;
