CÓD,NOME FANTASIA,LATITUDE,LONGITUDE,TEMPO MÉDIO DE VISITA,FREQUÊNCIA,ROTAS,SEG (Dias do Cliente),SEG (Dias do Vendedor),TER (Dias do Cliente),TER (Dias do Vendedor),QUA (Dias do Cliente),QUA (Dias do Vendedor),QUI (Dias do Cliente),QUI (Dias do Vendedor),SEX (Dias do Cliente),SEX (Dias do Vendedor),SAB (Dias do Cliente),SAB (Dias do Vendedor)
151,COMPREMAX - MISTER HULL,-3.7392121,-38.5924565,02:54:20,2,DEFAULT,X,,,X,X,,X,,X,,X,
11455,SUPER BENFICA - BENFICA,-3.7451759,-38.5402234,01:08:40,2,DEFAULT,X,,,X,X,,X,,X,,X,
3968,LAREDO - CENTRO,-3.7309369,-38.5376384,00:49:06,2,DEFAULT,X,,,X,X,,X,,X,,X,
3584,SANTA EDWIGES - JD GUANABARA - LJ 02,-3.726481,-38.5888279,01:15:41,2,DEFAULT,,X,X,,X,,X,,X,,X,
10978,SUPER PORTUGAL - JOAQUIM TAVORA,-3.74863598,-38.51500582,00:39:15,2,DEFAULT,,X,X,,X,,X,,X,,X,
11912,SUPER BENFICA- JOSE BONIFACIO,-3.73839532,-38.53222215,00:45:17,1,DEFAULT,,X,X,,X,,X,,X,,X,
348,COMPREMAX - SGT HERMINIO,-3.730491,-38.5771848,02:21:45,2,DEFAULT,X,,,X,X,,X,,X,,X,
840,CANTINHO DAS FRUTAS - PIRAMBU,-3.7128686,-38.5486857,00:43:15,1,DEFAULT,,X,X,,X,,X,,X,,X,
193,EXITO - MONTE CASTELO,-3.7211932,-38.5583364,02:15:09,1,DEFAULT,X,,,X,X,,X,,X,,X,
898,SANTA EDWIGES - JD GUANABARA - LJ 01,-3.7249377,-38.5890115,02:58:22,1,DEFAULT,,X,X,,X,,X,,X,,X,
658,BRASILEIRO - RODOLFO TEOFILO,-3.7466444,-38.5504395,01:42:54,2,DEFAULT,X,,X,,X,,,X,X,,X,
368,SUPER PORTUGAL - TAUAPE,-3.7560405,-38.5114051,00:51:55,2,DEFAULT,,X,X,,X,,X,,X,,X,
11219,MAE RAINHA - ITAITINGA,-3.97234558,-38.52976029,02:04:26,2,DEFAULT,X,,X,,X,,X,,,X,X,
3249,KALBIR ATACAREJO - LJ 01,-3.8496108,-38.5809081,00:25:13,1,DEFAULT,X,,,X,X,,X,,X,,X,
1142,SUPERMERCADO CRISOSTOMO - LJ 01,-3.846401,-38.656205,00:55:42,1,DEFAULT,,X,X,,X,,X,,X,,X,
3765,MAIS LUZ - (KALBIR LJ 02),-3.8548937,-38.5789869,01:03:39,1,DEFAULT,X,,,X,X,,X,,X,,X,
11220,MAE RAINHA - MARACANAU,-3.85564449,-38.5796747,02:54:21,2,DEFAULT,X,,,X,X,,X,,X,,X,
1998,SUPERMERCADO PROGRESSO,-3.8775392,-38.6087159,01:34:28,3,DEFAULT,X,,,X,X,,X,,X,,X,
284,SAO FRANCISCO - MATRIZ LJ 01,-3.7966519,-38.6007377,00:58:28,2,DEFAULT,,X,X,,X,,X,,X,,X,
1967,SAO FRANCISCO - FILIAL LJ 02,-3.7865804,-38.5979579,00:45:44,2,DEFAULT,,X,X,,X,,X,,X,,X,
803,LAREDO - GENIBAU,-3.7567884,-38.6017086,00:41:17,1,DEFAULT,X,,,X,X,,X,,X,,X,
9318,SAO FRANCISCO - FILIAL LJ 03,-3.7881221,-38.6107546,00:50:38,2,DEFAULT,,X,X,,X,,X,,X,,X,
11037,SUPERMERCADO CRISOSTOMO - LJ 02,-3.77769483,-38.60700068,00:47:09,1,DEFAULT,,X,X,,X,,X,,X,,X,
153,SUPER PORTUGAL - BRAGANCA,-3.7807845,-38.5966783,00:47:31,2,DEFAULT,X,,X,,,X,X,,X,,X,
9319,SUPER PORTUGAL - GRANJA PORTUGAL,-3.777836,-38.597821,01:09:25,2,DEFAULT,X,,X,,,X,X,,X,,X,
12796,NOVO SIQUEIRA - LJ1,-3.80892581,-38.62755341,01:15:25,1,DEFAULT,X,,X,,,X,X,,X,,X,
611,SUPER PORTUGAL - MARAPONGA,-3.7842908,-38.5691114,00:47:14,2,DEFAULT,X,,X,,,X,X,,X,,X,
762,R CENTER - PRK SANTA ROSA,-3.8119541,-38.5972122,00:42:38,1,DEFAULT,X,,,X,X,,X,,X,,X,
10752,POPULAR ATACADISTA - PLANALTO AYRTON SENNA,-3.8361488,-38.5733762,03:21:01,5,DEFAULT,X,,X,,X,,X,,,X,X,
620,SUPER PORTUGAL - VILA PERI,-3.7802372,-38.5784333,01:01:59,2,DEFAULT,X,,X,,,X,X,,X,,X,
884,SUPER PORTUGAL - CIDADE DOS FUNC,-3.7899059,-38.495258,00:45:40,2,DEFAULT,X,,X,,X,,X,,X,,,X
4891,BRASILEIRO - MARAPONGA,-3.80487293,-38.56576242,01:12:53,1,DEFAULT,X,,,X,X,,X,,X,,X,
9597,VITORIANO - E F LUNA,-3.7603291,-38.5423981,01:06:00,1,DEFAULT,X,,,X,X,,X,,X,,X,
5158,SUPERMERCADO IRMAO GEMEOS - LJ 03,-3.8090825,-38.524932,01:23:53,1,DEFAULT,,X,X,,X,,X,,X,,X,
3078,SUPERMERCADO IRMAO GEMEOS - LJ 01,-3.8169208,-38.5316105,00:33:31,1,DEFAULT,,X,X,,X,,X,,X,,X,
11743,SUPER PORTUGAL- SAPIRANGA,-3.79508034,-38.47443215,01:21:26,2,DEFAULT,X,,X,,X,,X,,X,,,X
2807,SUPER PORTUGAL - SERRINHA,-3.7872948,-38.5439698,00:58:22,2,DEFAULT,X,,X,,X,,X,,X,,,X
2368,MARBOX SUPER - ARATURI,-3.7658197,-38.6401005,00:38:56,1,DEFAULT,X,,,X,X,,X,,X,,X,
4089,COMPREMAX - METROPOLE,-3.7666193,-38.6538536,01:00:48,2,DEFAULT,X,,,X,X,,X,,X,,X,
4381,COMPREMAX - OFERTAO MAX,-3.72905976,-38.65588134,01:30:40,2,DEFAULT,X,,,X,X,,X,,X,,X,
239,SUPER CAUCAIA - LJ 02,-3.7342526,-38.65836087,01:46:47,2,DEFAULT,,X,X,,X,,X,,X,,X,
11268,PASSAKI - CAUCAIA,-3.73335329,-38.6569974,01:28:34,2,DEFAULT,X,,X,,,X,X,,X,,X,
181,SUPER CAUCAIA - LJ 01,-3.73546304,-38.65846975,01:03:26,2,DEFAULT,,X,X,,X,,X,,X,,X,
2240,SUPER CUMBUCO - CUMBUCO - LJ 01,-3.625908,-38.7283622,00:31:18,1,DEFAULT,X,,X,,X,,X,,,X,X,
3771,SUPER MOBYDICK,-3.6736142,-38.6696458,00:49:18,1,DEFAULT,X,,X,,X,,X,,,X,X,
9295,PARA TY - ICARAI,-3.67554656,-38.66738313,00:52:52,1,DEFAULT,X,,X,,X,,X,,,X,X,
1450,SUPERMERCADO MAR & SOL,-3.67349324,-38.66970537,01:08:12,1,DEFAULT,X,,X,,X,,X,,,X,X,
11163,COMPREMAX - ICARAI,-3.67322246,-38.67026304,02:30:53,2,DEFAULT,X,,,X,X,,X,,X,,X,
931,MERCADINHO RAIMUNDINHO,-3.766361,-38.6211393,01:25:09,2,DEFAULT,X,,,X,X,,X,,X,,X,
11844,COMPREMAX - NOVA METROPOLE,-3.76944093,-38.65433696,01:44:29,1,DEFAULT,X,,,X,X,,X,,X,,X,
1230,VITORIA REAL,-3.7716837,-38.6552574,01:41:41,1,DEFAULT,X,,X,,,X,X,,X,,X,
718,COMPREMAX - JUREMA,-3.77334061,-38.62707738,01:53:46,2,DEFAULT,X,,,X,X,,X,,X,,X,
719,EXITO - PRK ALBANO,-3.7594355,-38.6163545,01:23:45,1,DEFAULT,X,,,X,X,,X,,X,,X,
317,EXITO - PRK POTIRA II,-3.75701496,-38.63685327,01:06:51,1,DEFAULT,X,,,X,X,,X,,X,,X,
715,EXITO - PRK POTIRA III,-3.767533,-38.6248232,01:03:46,1,DEFAULT,X,,,X,X,,X,,X,,X,
2279,EXITO - ACAPULCO,-3.758694,-38.625415,00:59:11,1,DEFAULT,X,,,X,X,,X,,X,,X,
12604,CANTINHO DAS FRUTAS - CAUCAIA,-3.69547409,-38.5977858,00:43:15,1,DEFAULT,,X,X,,X,,X,,X,,X,
9296,SUPER CUMBUCO - CAUCAIA - LJ 02,-3.64063684,-38.70421562,00:57:51,1,DEFAULT,X,,X,,X,,X,,,X,X,
3776,OFERTASSO - CONJ PALMEIRAS,-3.8471524,-38.5283154,00:48:50,1,DEFAULT,X,,X,,X,,X,,,X,X,
4028,LAREDO - MESSEJANA,-3.8298139,-38.4907932,01:14:36,1,DEFAULT,X,,,X,X,,X,,X,,X,
5192,R CENTER - PAUPINA,-3.83829143,-38.48757653,01:19:05,1,DEFAULT,X,,,X,X,,X,,X,,X,
12643,POPULAR ATACADISTA - JOSE WALTER,-3.83328621,-38.55279781,02:04:10,2,DEFAULT,X,,X,,,X,X,,X,,X,
4793,SUPER TELEFRANGO - LJ 01,-3.7760576,-38.60597,00:52:57,2,DEFAULT,X,,,X,X,,X,,X,,X,
4828,SUPER TELEFRANGO - LJ 03,-3.8298712,-38.4916118,01:04:00,2,DEFAULT,,X,X,,X,,X,,X,,X,
4832,SUPER TELEFRANGO - LJ 02,-3.7734318,-38.5835181,00:50:28,2,DEFAULT,X,,,X,X,,X,,X,,X,
9593,SUPER TELEFRANGO - LJ 04,-3.8034992,-38.5341911,01:17:36,2,DEFAULT,,X,X,,X,,X,,X,,X,
12706,SUPER TELEFRANGO - LJ 07,-3.80072549,-38.53008014,01:13:30,2,DEFAULT,X,,,X,X,,X,,X,,X,
830,SUPER DA BARRA - JACARECANGA,-3.706271,-38.574687,00:46:18,1,DEFAULT,,X,X,,X,,X,,X,,X,
10749,SUPER LUA - PROF MURILO,-3.7242051,-38.4636954,00:54:57,1,DEFAULT,,X,X,,X,,X,,X,,X,
2365,SUPERMERCADO SUPER DIKA,-3.741646,-38.659527,00:47:34,1,DEFAULT,,X,X,,X,,X,,X,,X,
595,MERCADINHO JALS,-3.7691711,-38.6569162,00:44:37,1,DEFAULT,X,,X,,,X,X,,X,,X,
9595,CRIS ATACADISTA,-3.736915,-38.6502819,00:22:58,1,DEFAULT,X,,X,,X,,X,,X,,,X
1708,NOSSA SRA DE FATIMA,-3.8359504,-38.5950891,00:48:08,1,DEFAULT,X,,X,,X,,X,,,X,X,
1963,LAREDO - MARANGUAPE,-3.89206803,-38.68194164,00:20:42,1,DEFAULT,X,,X,,,X,X,,X,,X,
