CÓD,NOME FANTASIA,LATITUDE,LONGITUDE,TEMPO MÉDIO DE VISITA,FREQUÊNCIA,SEG,TER,QUA,QUI,SEX,SAB
001,SUPERMERCADO A,-3.7392,-38.5924,01:00:00,1,X,,,,,
002,SUPERMERCADO B,-3.7451,-38.5402,00:45:00,1,,X,,,,
003,SUPERMERCADO C,-3.7512,-38.5890,01:15:00,1,,,X,,,
004,SUPERMERCADO D,-3.7308,-38.6234,01:30:00,1,,,,X,,
005,SUPERMERCADO E,-3.7645,-38.6012,00:50:00,1,,,,,X,
006,SUPERMERCADO F,-3.7889,-38.5456,01:10:00,1,,,,,,X
007,SUPERMERCADO G,-3.7234,-38.5678,01:20:00,2,X,,X,,
008,SUPERMERCADO H,-3.7567,-38.6234,00:55:00,2,,X,,X,,
009,SUPERMERCADO I,-3.7890,-38.5123,01:05:00,2,,,X,,X,
010,SUPERMERCADO J,-3.7123,-38.6789,01:25:00,2,,,,X,,X
